--- Log started at 2025-06-06 17:52:13 ---
Cam 1 Focal Length: 111.11 pixels
Cam 2 Focal Length: 111.11 pixels
Cam 3 Focal Length: 111.11 pixels
Cam 4 Focal Length: 111.11 pixels
2025-06-06 17:52:14 | No objects detected
2025-06-06 17:52:15 | No objects detected
2025-06-06 17:52:16 | No objects detected
2025-06-06 17:52:17 | No objects detected
2025-06-06 17:52:18 | No objects detected
2025-06-06 17:52:19 | No objects detected
2025-06-06 17:52:26 | Cam 3 | Person 4, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 5, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 6, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 7, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 8, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 9, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 10, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 11, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 12, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 13, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 14, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 4 | Person 1, Distance: 28.17 cm
