--- Log started at 2025-06-06 10:16:15 ---
Error: Camera Cam 1 unavailable for reference capture. Using default focal length 600.0.
Error: Camera Cam 2 unavailable for reference capture. Using default focal length 600.0.
2025-06-06 10:16:16 | No objects detected
2025-06-06 10:16:17 | No objects detected
2025-06-06 10:16:18 | No objects detected
2025-06-06 10:16:19 | No objects detected
2025-06-06 10:16:36 | Cam 2 | Person 6, Distance: 197.92 cm
2025-06-06 10:16:36 | Cam 2 | Person 7, Distance: 197.92 cm
2025-06-06 10:16:36 | Cam 2 | Person 8, Distance: 197.92 cm
2025-06-06 10:16:36 | Cam 2 | Person 9, Distance: 197.92 cm
2025-06-06 10:16:36 | Cam 2 | Person 10, Distance: 197.92 cm
2025-06-06 10:16:37 | Cam 1 | Person 1, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 1 | Person 2, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 1 | Person 3, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 1 | Person 4, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 1 | Person 5, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 1 | Person 6, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 1 | Person 7, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 1 | Person 8, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 1 | Person 9, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 1 | Person 10, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 1 | Person 11, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 1 | Person 12, Distance: 144.4 cm
2025-06-06 10:16:37 | Cam 2 | Person 1, Distance: 220.92 cm
2025-06-06 10:16:37 | Cam 2 | Person 2, Distance: 220.92 cm
2025-06-06 10:16:37 | Cam 2 | Person 3, Distance: 220.92 cm
2025-06-06 10:16:37 | Cam 2 | Person 4, Distance: 220.92 cm
2025-06-06 10:16:37 | Cam 2 | Person 5, Distance: 220.92 cm
2025-06-06 10:16:37 | Cam 2 | Person 6, Distance: 220.92 cm
2025-06-06 10:16:37 | Cam 2 | Person 7, Distance: 220.92 cm
2025-06-06 10:16:37 | Cam 2 | Person 8, Distance: 220.92 cm
2025-06-06 10:16:37 | Cam 2 | Person 9, Distance: 220.92 cm
2025-06-06 10:16:37 | Cam 2 | Person 10, Distance: 220.92 cm
2025-06-06 10:16:37 | Cam 2 | Person 11, Distance: 220.92 cm
2025-06-06 10:16:37 | Cam 2 | Person 12, Distance: 220.92 cm
2025-06-06 10:16:38 | Cam 1 | Person 1, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 1 | Person 2, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 1 | Person 3, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 1 | Person 4, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 1 | Person 5, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 1 | Person 6, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 1 | Person 7, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 1 | Person 8, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 1 | Person 9, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 1 | Person 10, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 1 | Person 11, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 1 | Person 12, Distance: 155.09 cm
2025-06-06 10:16:38 | Cam 2 | Person 1, Distance: 251.86 cm
2025-06-06 10:16:38 | Cam 2 | Person 2, Distance: 251.86 cm
2025-06-06 10:16:38 | Cam 2 | Person 3, Distance: 251.86 cm
2025-06-06 10:16:38 | Cam 2 | Person 4, Distance: 251.86 cm
2025-06-06 10:16:38 | Cam 2 | Person 5, Distance: 251.86 cm
2025-06-06 10:16:38 | Cam 2 | Person 6, Distance: 251.86 cm
2025-06-06 10:16:38 | Cam 2 | Person 7, Distance: 251.86 cm
2025-06-06 10:16:38 | Cam 2 | Person 8, Distance: 251.86 cm
2025-06-06 10:16:38 | Cam 2 | Person 9, Distance: 251.86 cm
